student_id,gender,study_group,study_hours_per_day,attendance_pct,sleep_hours,social_media_hours,extracurricular_hours,previous_score,exam_score
77,Female,Group A,4.0,82.6,7.7,3.5,0.4,37.1,83.5
78,Male,Group C,4.6,69.6,4.8,0.4,2.1,69.7,100.0
79,Female,Group C,3.2,82.5,7.9,6.1,0.4,63.1,78.3
80,Male,Group A,0.8,87.6,6.9,6.0,1.2,54.7,69.4
81,Male,Group C,4.5,73.9,8.1,1.7,0.3,77.1,96.1
82,Female,Group A,4.8,69.7,8.0,0.1,0.1,37.4,99.6
83,Male,Group C,4.1,93.9,6.9,2.5,3.3,46.1,85.1
84,Male,Group B,2.1,86.2,7.1,3.3,2.2,54.9,65.9
85,Male,Group C,3.2,74.4,4.2,4.6,2.4,77.2,84.1
86,Male,Group B,2.6,46.0,4.7,3.7,6.0,61.4,75.5
87,Female,Group C,3.1,81.4,5.2,2.4,2.9,54.2,79.4
88,Female,Group A,5.4,89.5,6.0,0.0,0.1,73.8,97.4
89,Female,Group B,5.8,95.5,7.7,3.4,0.5,59.4,100.0
90,Female,Group A,4.5,73.9,4.2,3.9,0.8,57.0,82.4
91,Female,Group C,4.3,74.3,6.1,2.3,4.5,62.1,86.8
92,Female,Group B,4.5,,4.8,3.1,0.0,71.7,97.4
93,Female,Group C,3.5,92.1,4.5,3.0,2.0,100.0,93.9
94,Male,Group C,3.4,67.9,8.4,2.4,0.1,50.4,88.0
95,Male,Group A,2.5,80.6,6.6,1.1,0.3,70.8,83.0
96,Male,Group C,3.4,70.9,8.6,3.2,0.4,64.4,85.9
97,Male,Group B,6.9,85.2,8.0,0.7,0.9,62.8,100.0
98,Male,Group C,4.8,63.3,5.3,4.7,3.5,89.5,89.0
99,Female,Group C,3.0,86.5,,1.4,2.9,78.4,89.0
100,Female,Group B,2.8,76.0,9.2,3.4,0.6,76.8,87.7
101,Female,Group C,2.2,79.3,6.0,1.7,6.0,60.0,80.7
102,Female,Group B,4.1,88.3,5.0,3.2,0.1,54.1,88.2
103,Female,Group C,4.1,95.7,7.4,2.4,0.1,71.2,97.7
104,Female,Group B,1.3,61.6,6.7,3.4,1.0,62.6,78.5
105,Male,Group B,4.2,94.0,5.6,1.6,0.6,58.3,95.6
106,Male,Group B,2.6,88.7,6.1,0.4,3.1,76.9,89.0
107,Male,Group B,5.6,78.5,6.7,2.3,0.0,48.8,87.7
108,Male,Group C,3.7,98.8,6.6,2.2,3.2,56.0,85.3
109,Female,Group C,6.1,84.3,7.5,0.6,0.5,78.7,100.0
110,Male,Group B,2.8,97.5,6.0,1.7,2.3,65.7,93.9
111,Male,Group A,3.1,74.9,6.1,0.4,0.0,76.9,89.0
112,Male,Group B,3.9,71.6,7.3,2.9,3.7,54.2,86.8
113,Female,Group B,5.1,96.7,6.9,2.2,2.6,77.5,99.0
114,Female,Group B,4.3,100.0,7.9,2.7,1.3,56.3,89.9
115,Male,Group A,1.6,89.6,6.2,6.3,2.7,87.3,67.9
116,Female,Group B,3.8,92.7,6.4,2.9,2.4,78.9,88.9
117,Male,Group C,3.5,76.3,5.0,3.2,2.9,74.0,79.3
118,Male,Group A,2.9,66.1,8.4,3.6,1.7,90.1,89.9
119,Female,Group B,2.5,79.3,4.7,2.5,5.3,72.3,79.5
120,Female,Group A,6.1,100.0,6.8,1.9,1.3,57.6,100.0
121,Male,Group C,2.9,59.7,5.3,3.9,1.8,90.4,82.8
122,Female,Group B,2.2,76.1,6.9,4.1,1.0,72.3,78.8
123,Male,Group B,4.5,59.0,7.5,0.0,6.0,85.4,98.8
124,Male,Group B,3.7,83.3,,2.5,0.0,69.4,93.2
125,Male,Group C,3.4,92.5,6.2,2.2,2.0,84.6,87.1
126,Female,Group C,4.7,67.1,4.2,1.9,0.4,54.2,94.3
127,Female,Group A,4.2,77.1,8.3,4.4,1.7,48.2,85.8
128,Female,Group B,4.0,97.9,5.9,1.9,0.3,46.1,77.8
129,Female,Group A,4.9,80.9,4.5,3.9,0.6,78.6,93.5
130,Male,Group C,3.9,67.1,5.6,1.9,1.7,37.8,68.6
131,Male,Group B,2.6,66.2,8.2,2.1,0.8,40.5,69.1
132,Female,Group A,3.0,57.8,8.4,3.7,1.6,46.0,60.1
133,Male,Group A,2.7,91.3,8.2,1.7,1.6,70.7,81.0
134,Male,Group C,3.8,73.0,5.5,2.5,0.2,73.8,86.9
135,Female,Group C,1.9,94.6,6.3,1.1,1.8,55.1,74.2
136,Male,Group A,0.8,92.4,8.6,1.5,0.5,79.1,84.9
137,Male,Group A,3.6,74.1,5.5,3.7,0.8,72.1,82.4
138,Female,Group A,1.5,75.7,6.1,3.5,1.1,85.4,72.9
139,Male,Group C,0.6,91.3,5.3,1.1,0.7,81.5,73.7
140,Female,Group C,4.1,83.8,5.0,1.0,0.5,57.0,91.7
141,Male,Group C,2.4,85.2,8.1,6.3,0.3,70.3,70.4
142,Male,Group B,4.2,62.2,7.3,1.8,1.5,64.9,96.8
143,Female,Group B,2.7,92.8,7.1,1.5,2.1,74.3,94.8
144,Female,Group B,1.8,71.5,7.3,3.4,0.3,70.4,68.6
145,Female,Group C,1.6,54.8,7.8,1.6,1.4,67.8,71.9
146,Male,Group A,2.7,74.6,8.5,2.2,0.2,78.1,89.8
147,Male,Group B,3.1,87.1,6.5,3.9,1.5,68.3,76.0
148,Male,Group C,2.3,100.0,6.1,4.1,0.5,78.4,71.0
149,Male,Group A,3.1,77.5,,2.4,0.7,67.9,89.2
150,Female,Group C,1.2,66.0,7.9,4.6,1.7,65.1,65.4
151,Male,Group C,3.5,100.0,5.8,2.5,0.9,81.2,92.1
152,Male,Group A,0.8,83.9,4.6,2.4,0.9,81.7,70.6
153,Female,Group B,3.2,78.9,6.2,2.7,0.5,86.0,96.1
154,Male,Group C,4.5,69.1,6.5,2.3,2.5,76.9,82.6
155,Male,Group A,5.1,70.0,7.6,3.4,0.5,64.3,91.8
156,Female,Group B,6.1,99.7,7.8,3.1,1.6,70.3,100.0
157,Male,Group A,1.2,78.8,5.5,1.6,0.1,69.8,65.5
158,Male,Group B,4.6,75.5,5.5,2.9,3.6,41.1,72.8
159,Male,Group C,5.3,75.9,6.1,1.9,5.1,50.7,87.1
160,Male,Group B,5.0,100.0,4.9,1.9,0.3,90.3,100.0
161,Male,Group A,2.1,74.9,6.4,2.5,0.9,66.6,89.4
162,Female,Group B,4.1,89.5,7.1,4.1,0.2,24.8,85.2
163,Female,Group B,6.3,85.2,6.6,3.1,0.8,65.7,100.0
164,Female,Group C,1.3,84.9,4.4,4.5,3.0,69.9,69.3
165,Male,Group B,4.2,71.5,5.0,4.9,1.4,49.1,80.2
166,Female,Group A,5.2,89.9,8.2,2.6,0.2,100.0,100.0
167,Female,Group B,2.5,100.0,5.2,1.8,5.2,84.3,88.8
168,Female,Group C,4.4,81.4,7.5,1.6,1.2,79.6,100.0
169,Female,Group C,1.9,71.0,7.3,3.1,0.1,64.6,73.0
170,Male,Group A,2.3,66.5,6.1,3.9,0.7,74.6,76.0
171,Female,Group B,2.3,84.3,5.2,4.9,0.2,80.0,75.5
172,Male,Group C,3.8,78.7,6.8,0.9,3.2,74.5,91.7
173,Female,Group C,3.4,80.7,5.3,4.0,0.7,57.4,89.9
174,Male,Group B,4.9,82.1,6.3,4.2,1.0,70.2,90.7
175,Female,Group A,2.1,64.3,6.6,6.1,2.8,69.4,82.2
176,Male,Group B,3.3,91.4,5.6,3.0,1.3,71.8,99.6
177,Female,Group B,4.9,84.8,,2.6,0.1,51.8,97.5
178,Male,Group A,4.3,81.1,6.1,0.6,0.1,71.3,100.0
179,Female,Group B,1.5,84.8,4.9,1.6,0.3,67.4,81.4
180,Male,Group C,4.5,93.1,,1.1,1.7,70.8,100.0
181,Female,Group B,2.8,82.6,5.7,1.3,1.4,,76.9
182,Female,Group B,4.1,71.8,,1.4,0.7,45.8,79.8
183,Male,Group A,4.0,96.0,6.1,0.6,0.6,80.1,92.0
184,Female,Group B,5.3,76.8,6.1,2.6,0.1,78.4,100.0
185,Female,Group B,3.7,73.3,5.7,3.2,0.1,47.1,85.3
186,Male,Group B,0.7,63.3,3.8,3.8,1.5,65.8,63.2
187,Female,Group A,1.4,82.1,7.5,2.6,2.4,54.5,80.4
188,Female,Group A,4.6,69.4,7.4,4.2,1.0,60.4,94.9
189,Male,Group C,3.1,75.8,7.3,4.2,1.8,82.1,84.2
190,Male,Group A,5.2,87.4,6.9,0.6,0.9,75.0,100.0
191,Female,Group C,3.9,82.4,4.9,2.3,0.1,96.7,94.5
192,Male,Group C,2.4,94.2,6.7,1.0,0.0,68.4,100.0
193,Female,Group A,5.1,85.7,5.3,1.3,2.4,50.3,98.0
194,Male,Group A,2.3,77.2,9.3,3.0,3.0,68.7,80.5
195,Male,Group B,0.4,78.0,5.8,2.5,6.0,30.4,61.6
196,Male,Group A,6.6,75.9,7.4,4.8,0.6,93.5,100.0
197,Male,Group A,0.6,89.8,4.5,5.6,2.0,70.8,67.4
198,Female,Group A,4.5,82.3,5.0,3.3,2.0,73.5,92.3
199,Male,Group A,4.9,77.1,5.8,2.4,1.6,69.0,98.3
200,Female,Group C,3.7,92.1,7.4,2.5,2.6,54.0,92.0
201,Male,Group C,1.0,83.2,7.2,2.7,4.7,64.9,55.4
202,Female,Group B,5.0,76.4,,3.5,0.3,54.9,89.9
203,Female,Group A,1.3,63.9,4.1,1.7,2.0,59.0,71.2
204,Female,Group C,1.5,87.2,8.0,3.5,0.8,71.5,78.5
205,Female,Group B,3.0,84.9,5.3,2.4,2.6,48.5,68.8
206,Male,Group B,4.7,82.6,8.6,4.2,3.7,91.0,100.0
207,Female,Group C,4.0,76.8,8.9,4.6,4.3,50.4,87.4
208,Male,Group C,4.7,72.0,7.6,5.1,2.1,78.7,97.9
209,Female,Group B,2.8,79.3,7.8,2.5,3.8,56.7,83.4
210,Female,Group B,3.2,84.8,4.9,0.8,0.2,47.6,72.9
211,Male,Group B,1.8,80.5,9.9,0.4,0.1,71.9,78.9
212,Female,Group A,3.0,80.3,6.8,2.3,0.8,68.6,77.7
213,Female,Group B,4.4,76.4,7.8,0.7,1.9,62.6,100.0
214,Female,Group B,3.1,86.1,5.4,0.4,2.5,65.1,89.1
215,Female,Group C,4.2,84.8,6.4,2.2,2.7,56.6,86.0
216,Female,Group B,2.6,73.0,5.0,1.3,0.2,72.2,81.1
217,Female,Group C,2.6,91.1,6.2,3.7,1.7,58.6,77.9
218,Male,Group A,3.6,91.5,6.5,5.4,1.2,66.0,88.9
219,Male,Group A,3.2,91.8,6.8,2.4,0.3,82.3,95.6
220,Male,Group A,4.4,80.4,8.3,3.2,1.0,45.9,87.1
221,Female,Group A,3.8,79.7,7.1,0.5,2.2,57.1,98.6
222,Male,Group A,6.1,68.1,6.8,3.0,0.3,55.5,98.3
223,Female,Group C,3.2,91.1,6.6,1.7,3.4,53.6,81.0
224,Female,Group C,3.2,56.4,9.1,1.2,0.3,45.3,91.7
225,Male,Group B,1.9,77.3,5.7,0.1,0.1,61.3,70.3
226,Female,Group B,3.5,77.9,8.0,5.0,0.7,67.6,77.5
227,Female,Group B,4.5,92.3,4.0,0.5,2.3,63.7,100.0
228,Female,Group B,2.4,82.0,5.4,1.0,2.2,41.5,77.4
229,Female,Group A,3.4,70.4,7.0,2.7,3.0,75.4,84.8
230,Male,Group A,4.6,64.9,6.3,3.1,0.3,75.8,86.4
231,Male,Group A,3.3,73.3,10.0,3.1,0.4,66.3,85.9
232,Female,Group A,2.7,83.3,9.9,2.9,0.3,50.3,81.2
233,Female,Group A,5.0,82.7,4.5,1.5,0.3,52.4,93.7
234,Male,Group B,3.6,79.6,5.1,3.8,0.8,94.2,77.5
235,Female,Group A,4.1,73.8,6.3,3.0,6.0,90.8,91.2
236,Male,Group B,5.3,79.5,8.8,0.7,1.7,72.2,96.9
237,Female,Group C,5.2,94.0,8.0,5.0,0.6,51.5,95.1
238,Male,Group A,3.0,68.8,6.9,2.3,4.8,83.9,84.7
239,Female,Group A,2.7,82.4,4.7,4.1,1.2,67.7,74.9
240,Male,Group A,3.9,100.0,5.4,0.7,0.1,90.1,92.3
241,Male,Group B,3.3,88.7,3.0,1.1,0.1,56.5,87.3
242,Female,Group B,0.7,76.5,4.5,1.9,1.2,72.1,66.2
243,Male,Group B,5.4,89.9,7.1,1.8,0.3,61.9,100.0
244,Male,Group B,3.5,73.0,7.5,4.2,0.5,76.3,92.2
245,Female,Group A,4.6,82.1,4.8,0.5,0.7,55.6,100.0
246,Male,Group C,1.7,100.0,6.6,3.0,1.4,78.7,77.3
247,Male,Group B,5.4,100.0,8.6,1.3,4.0,59.3,93.0
248,Male,Group C,2.6,61.5,6.7,3.5,0.1,51.8,74.3
249,Male,Group A,3.3,90.4,6.1,3.0,3.8,73.5,85.7
250,Male,Group B,1.4,100.0,7.3,2.0,0.8,68.5,74.8
251,Female,Group C,3.2,75.5,7.2,5.9,0.6,33.5,70.6
252,Female,Group A,3.2,85.1,6.6,2.7,0.5,64.4,88.1
253,Male,Group A,3.2,100.0,5.8,4.3,0.7,66.6,79.3
254,Male,Group B,4.2,76.1,6.0,0.9,0.8,67.8,96.3
255,Male,Group A,3.6,87.4,6.6,2.6,0.8,95.6,100.0
256,Male,Group C,5.0,81.3,5.8,2.9,2.8,55.4,90.1
257,Female,Group A,2.8,,8.2,2.9,0.6,64.8,87.0
258,Female,Group A,2.0,86.2,7.7,2.3,0.4,39.7,73.0
259,Male,Group B,3.5,79.8,7.9,1.6,4.0,43.3,78.4
260,Female,Group A,4.4,93.1,9.1,0.0,2.3,56.5,100.0
261,Female,Group C,5.4,100.0,8.6,2.0,0.0,63.1,100.0
262,Female,Group A,4.7,90.2,8.4,1.5,1.2,62.1,91.0
263,Male,Group B,0.9,77.6,7.0,2.4,1.5,74.5,76.0
264,Male,Group A,4.1,87.4,6.3,4.0,0.2,75.9,95.3
265,Female,Group B,5.7,,9.5,5.9,0.6,80.1,100.0
266,Male,Group A,3.6,,5.6,3.5,0.3,62.6,91.0
267,Female,Group C,2.7,64.7,5.7,4.2,0.1,72.3,74.7
268,Female,Group C,4.0,68.0,5.4,3.6,1.1,54.3,88.2
269,Female,Group C,2.7,57.5,6.8,3.8,0.1,70.4,81.7
270,Male,Group A,4.5,89.3,7.0,3.6,0.9,72.2,93.1
271,Female,Group B,3.5,81.8,7.8,2.4,1.0,57.5,82.6
272,Female,Group A,5.6,74.3,,2.3,1.4,20.0,86.9
273,Female,Group A,4.2,73.3,4.3,3.2,2.9,55.2,89.5
274,Female,Group C,2.4,75.1,6.9,5.3,0.0,100.0,77.7
275,Male,Group B,4.4,70.9,7.8,3.9,0.3,63.5,84.1
276,Female,Group C,4.9,78.1,6.5,5.0,1.7,55.4,92.3
277,Female,Group A,2.6,76.1,6.3,1.0,0.8,66.6,82.9
278,Male,Group A,2.9,98.7,7.2,3.1,0.3,81.6,83.9
279,Male,Group B,0.0,85.9,8.4,3.3,0.3,70.0,65.7
280,Male,Group B,4.9,72.2,6.4,3.5,0.3,61.9,92.0
281,Male,Group B,2.6,75.0,4.7,0.9,3.8,45.8,78.8
282,Female,Group B,0.3,96.4,5.8,0.2,0.7,60.5,81.8
283,Female,Group A,0.8,87.4,6.3,0.0,1.3,47.1,78.8
284,Male,Group C,3.2,85.5,4.2,2.2,1.3,70.2,90.6
285,Male,Group C,4.6,90.6,7.5,6.1,2.1,87.5,94.7
286,Male,Group B,3.4,100.0,5.5,3.1,1.0,80.7,85.0
287,Male,Group A,4.2,67.4,7.2,1.1,0.7,56.1,90.2
288,Female,Group B,1.8,73.1,6.8,3.3,1.9,50.2,61.5
289,Female,Group C,1.5,61.1,6.1,2.4,0.6,44.1,69.1
290,Female,Group A,4.8,87.9,8.6,3.0,0.2,71.6,100.0
291,Male,Group C,4.2,77.5,5.8,2.2,6.0,73.5,94.1
292,Male,Group C,3.5,73.9,5.6,1.0,4.1,76.7,89.6
293,Male,Group C,5.4,72.9,6.9,2.0,0.9,70.0,95.7
294,Male,Group C,2.1,90.3,7.6,3.8,1.9,46.8,85.8
295,Female,Group B,2.9,80.3,6.5,3.2,2.5,36.1,81.8
296,Male,Group A,5.0,75.6,5.2,4.5,0.7,81.6,86.3
297,Female,Group A,6.3,97.1,7.4,1.3,0.3,52.3,100.0
298,Male,Group A,3.5,69.4,7.3,4.3,0.3,93.3,93.1
299,Female,Group B,6.0,66.8,9.2,2.9,3.2,33.3,95.1
300,Female,Group C,2.6,100.0,6.2,3.1,6.0,48.3,78.7
301,Female,Group B,4.0,77.6,6.8,4.6,0.9,,82.8
302,Male,Group B,3.2,75.5,,2.6,5.8,68.8,88.4
303,Male,Group B,1.1,73.3,4.6,3.2,1.0,74.7,68.4
304,Female,Group A,3.9,80.4,6.6,3.7,0.9,56.5,87.4
305,Male,Group B,4.9,,7.6,3.7,0.5,73.7,100.0
306,Female,Group C,3.3,91.0,,4.0,1.3,45.3,72.9
307,Female,Group C,3.4,88.5,5.6,4.6,0.7,57.3,95.9
308,Female,Group C,5.6,78.7,5.0,3.6,3.0,46.6,90.8
309,Male,Group C,1.6,64.1,8.2,2.2,4.5,56.4,73.9
310,Male,Group A,1.3,85.4,5.7,6.3,1.9,,61.6
311,Female,Group C,2.5,100.0,7.3,2.8,0.9,69.3,94.7
312,Female,Group C,1.7,94.8,5.4,3.4,0.7,100.0,81.3
313,Female,Group B,5.5,80.0,6.6,1.8,5.3,44.2,97.0
314,Female,Group B,4.0,91.6,5.7,0.0,1.7,61.7,93.4
315,Male,Group A,2.2,77.4,3.4,1.8,1.5,,73.0
316,Male,Group A,2.6,81.3,6.6,2.9,0.0,65.7,74.7
317,Male,Group C,7.8,67.2,7.2,3.6,6.0,85.9,100.0
318,Male,Group C,2.6,78.2,3.8,2.9,0.6,49.4,73.6
319,Female,Group A,2.4,83.7,6.3,4.0,1.0,76.3,75.6
320,Male,Group B,4.0,80.0,5.9,4.2,0.3,52.9,81.2
321,Male,Group A,4.5,91.2,5.1,4.2,5.0,76.9,94.3
322,Male,Group C,3.8,100.0,6.2,2.9,3.2,67.2,98.3
323,Female,Group C,2.1,97.9,4.0,3.0,0.8,68.4,70.7
324,Female,Group A,1.8,78.3,6.8,2.6,2.4,55.9,79.8
325,Male,Group C,4.4,73.2,8.0,1.6,6.0,37.0,91.3
326,Male,Group B,3.4,74.2,,4.9,3.1,48.1,75.0
327,Female,Group B,1.0,70.3,6.4,1.1,0.2,75.3,80.4
328,Male,Group B,5.3,82.4,8.4,2.8,0.1,60.7,97.4
329,Male,Group C,4.7,87.1,6.7,3.2,0.6,75.7,100.0
330,Male,Group C,3.1,84.2,5.8,0.0,1.0,44.8,82.0
331,Male,Group C,3.1,84.3,5.3,3.9,0.4,74.3,75.4
332,Female,Group B,3.8,83.9,6.7,2.4,0.3,79.8,82.6
333,Female,Group A,2.5,80.4,6.3,3.2,0.4,31.6,87.4
334,Male,Group B,1.5,73.1,7.3,2.4,4.7,69.5,64.7
335,Male,Group C,4.0,100.0,4.5,0.7,2.5,93.8,90.7
336,Female,Group A,1.3,94.6,7.9,3.1,0.3,53.4,73.9
337,Male,Group B,4.1,71.1,6.0,3.0,0.8,79.7,96.2
338,Female,Group A,1.3,71.1,7.3,4.3,2.8,65.3,70.9
339,Male,Group B,3.4,75.0,5.6,3.5,0.5,77.5,87.6
340,Female,Group C,3.3,82.4,4.8,0.5,1.1,59.0,92.7
341,Male,Group B,6.2,97.1,5.8,4.4,0.5,53.1,100.0
342,Female,Group C,1.9,94.2,5.3,4.0,4.0,58.3,74.8
343,Female,Group A,1.4,94.8,6.0,3.9,1.1,59.3,76.7
344,Female,Group B,2.5,95.1,,3.5,0.6,55.9,82.4
345,Male,Group B,1.8,95.3,7.9,1.9,2.0,51.6,71.9
346,Female,Group C,2.6,90.8,6.8,3.6,0.4,81.3,89.2
347,Male,Group A,4.1,87.5,5.8,2.4,0.4,56.1,81.9
348,Female,Group A,4.7,80.6,5.9,6.9,3.9,46.7,87.2
349,Male,Group A,6.0,61.1,7.3,2.5,3.3,50.7,97.6
350,Male,Group A,2.4,80.4,8.0,1.3,0.3,72.1,95.5
351,Male,Group A,7.5,100.0,6.1,2.4,0.2,31.4,100.0
352,Male,Group C,6.5,75.5,6.3,4.9,3.2,,100.0
353,Female,Group A,3.2,74.5,5.5,2.1,0.8,75.5,80.9
354,Male,Group C,0.1,94.2,6.8,0.0,2.2,83.9,79.7
355,Male,Group A,3.4,83.0,7.7,4.9,0.6,58.2,85.6
356,Female,Group C,3.6,76.2,3.0,3.3,0.1,52.5,81.9
357,Female,Group C,0.1,100.0,6.8,2.2,0.2,67.4,70.1
358,Female,Group B,3.6,89.5,5.8,3.9,0.9,66.9,85.4
359,Female,Group C,3.2,91.1,3.5,1.6,2.0,,84.4
360,Female,Group B,2.3,75.2,6.9,1.2,3.6,65.7,77.8
361,Male,Group C,4.4,88.0,6.4,4.2,0.6,58.5,100.0
362,Male,Group B,5.0,86.5,7.0,2.1,0.8,44.9,98.2
363,Female,Group A,2.8,91.3,4.7,3.6,1.9,61.7,73.1
364,Male,Group B,3.8,95.8,9.3,2.9,1.8,66.0,88.0
365,Male,Group C,2.5,95.5,6.6,4.0,2.3,82.6,87.6
366,Female,Group B,2.3,84.0,6.1,3.0,2.1,66.5,86.0
367,Female,Group C,3.6,90.3,8.5,0.0,1.1,85.1,100.0
368,Male,Group A,4.3,68.3,7.3,3.8,2.1,83.5,97.4
369,Male,Group C,2.7,89.7,7.6,2.2,0.9,53.4,83.0
370,Male,Group A,0.2,90.2,8.0,4.1,2.3,47.8,51.3
371,Male,Group C,4.4,77.3,3.8,3.0,0.9,55.4,80.1
372,Female,Group B,1.1,72.7,8.7,4.9,0.2,61.4,64.9
373,Female,Group C,3.7,81.3,6.0,2.4,2.5,52.8,79.0
374,Male,Group B,6.2,67.4,6.9,0.0,0.3,75.4,100.0
375,Male,Group B,3.5,86.1,7.7,2.4,1.2,75.0,89.3
376,Male,Group A,1.7,85.5,5.6,3.6,2.0,83.0,87.7
377,Male,Group C,1.3,70.6,6.9,2.4,1.5,69.1,72.2
