order_id,order_date,category,region,payment_mode,units_sold,unit_price,revenue,month
1666,2025-07-21,Books,West,Debit Card,15,218.46,3276.9,July
1937,2025-10-12,Books,North,Net Banking,16,141.58,2265.28,October
1463,2025-05-21,Sports,East,Credit Card,12,142.93,1715.16,May
1588,2025-06-28,Electronics,West,Net Banking,13,85.58,1112.54,June
1464,2025-05-21,Electronics,South,Cash,9,113.26,1019.34,May
1052,2025-01-16,Clothing,North,Upi,3,476.64,1429.92,January
1797,2025-08-30,Sports,South,Upi,15,84.31,1264.65,August
1753,2025-08-17,Books,West,Credit Card,3,217.09,651.27,August
1903,2025-10-01,Clothing,West,Credit Card,15,311.6,4674.0,October
1591,2025-06-29,Toys,South,Cash,12,484.2,5810.4,June
1946,2025-10-14,Toys,West,Upi,4,69.83,279.32,October
1171,2025-02-21,Books,East,Cash,3,330.08,990.24,February
1761,2025-08-19,Toys,West,Net Banking,20,192.63,3852.6,August
1878,2025-09-24,Sports,West,Cash,22,152.16,3347.52,September
1028,2025-09-01,Electronics,North,Upi,1,383.4,383.4,September
1475,2025-05-24,Sports,North,Debit Card,9,48.07,432.63,May
1507,2025-06-03,Toys,East,Debit Card,13,217.84,2831.92,June
1064,2025-01-20,Toys,South,Net Banking,7,340.09,2380.63,January
1668,2025-07-22,Books,North,Credit Card,18,29.92,538.56,July
1893,2025-09-28,Home & Kitchen,East,Debit Card,2,496.33,992.66,September
1537,2025-06-12,Electronics,West,Upi,11,192.98,2122.78,June
1448,2025-05-16,Books,North,Upi,12,67.37,808.44,May
1984,2025-10-26,Books,North,Debit Card,23,397.13,9133.99,October
2194,2025-12-29,Toys,South,Debit Card,24,193.57,4645.68,December
1102,2025-01-31,Electronics,North,Debit Card,3,248.95,746.85,January
1373,2025-04-23,Electronics,North,Credit Card,13,409.4,5322.2,April
1152,2025-02-15,Sports,South,Cash,21,197.76,4152.96,February
1290,2025-03-29,Books,North,Credit Card,8,292.57,2340.56,March
2084,2025-11-25,Toys,North,Net Banking,20,293.65,5873.0,November
1047,2025-01-14,Clothing,South,Credit Card,21,180.13,3782.73,January
1726,2025-08-09,Home & Kitchen,East,Net Banking,10,209.52,2095.2,August
1925,2025-10-08,Electronics,South,Credit Card,9,55.91,503.19,October
1378,2025-04-25,Toys,North,Cash,23,40.16,923.68,April
1996,2025-10-30,Toys,South,Debit Card,18,365.75,6583.5,October
1586,2025-06-27,Electronics,East,Upi,2,35.6,71.2,June
1854,2025-09-16,Home & Kitchen,North,Debit Card,6,248.81,1492.86,September
1649,2025-07-16,Clothing,East,Debit Card,6,490.38,2942.28,July
2131,2025-12-10,Toys,East,Net Banking,14,477.51,6685.14,December
1579,2025-06-25,Home & Kitchen,South,Credit Card,38,134.22,5167.47,June
1783,2025-08-26,Home & Kitchen,West,Upi,13,136.63,1776.19,August
2142,2025-12-13,Books,West,Credit Card,20,108.37,2167.4,December
1456,2025-05-19,Clothing,East,Net Banking,9,118.76,1068.84,May
2058,2025-11-17,Electronics,West,Net Banking,9,224.3,2018.7,November
1563,2025-06-20,Sports,West,Cash,16,424.81,6796.96,June
1699,2025-07-31,Toys,West,Credit Card,2,343.51,687.02,July
1110,2025-02-03,Home & Kitchen,East,Cash,19,268.59,5103.21,February
2024,2025-07-11,Electronics,South,Cash,19,305.53,5805.07,July
2006,2025-11-02,Toys,East,Credit Card,17,56.2,955.4,November
1642,2025-07-14,Electronics,North,Debit Card,6,10.35,62.1,July
2095,2025-11-29,Sports,South,Credit Card,9,161.31,1451.79,November
1061,2025-01-19,Books,East,Net Banking,4,254.05,1016.2,January
1880,2025-09-24,Sports,East,Debit Card,7,208.6,1460.2,September
1922,2025-10-07,Electronics,North,Cash,7,383.85,2686.95,October
1908,2025-03-10,Sports,South,Debit Card,1,426.03,426.03,March
1142,2025-02-12,Clothing,North,Debit Card,22,244.845,5386.59,February
1413,2025-05-06,Clothing,East,Net Banking,19,255.23,4849.37,May
2147,2025-12-14,Sports,South,Net Banking,9,290.61,2615.49,December
1876,2025-09-23,Clothing,North,Cash,16,443.61,7097.76,September
1114,2025-02-04,Sports,East,Credit Card,21,171.92,3610.32,February
2043,2025-11-13,Electronics,South,Credit Card,20,161.04,3220.8,November
1956,2025-10-17,Toys,South,Net Banking,14,11.77,164.78,October
1879,2025-09-24,Clothing,South,Cash,4,118.85,475.4,September
1472,2025-05-23,Sports,East,Debit Card,2,190.4,380.8,May
2175,2025-12-23,Home & Kitchen,East,Net Banking,1,92.69,92.69,December
1352,2025-04-17,Books,South,Upi,22,441.08,9703.76,April
1010,2025-01-03,Sports,South,Cash,22,316.97,6973.34,January
1368,2025-04-22,Books,South,Upi,21,424.46,8913.66,April
1054,2025-01-17,Electronics,East,Debit Card,15,180.44,2706.6,January
1524,2025-08-06,Books,North,Net Banking,17,277.82,4722.94,August
2123,2025-12-07,Electronics,East,Net Banking,9,196.7,1770.3,December
2129,2025-12-09,Home & Kitchen,North,Debit Card,9,470.55,4234.95,December
1286,2025-03-28,Electronics,West,Cash,1,283.88,283.88,March
1180,2025-02-24,Electronics,North,Net Banking,8,276.47,2211.76,February
1041,2025-01-13,Electronics,East,Debit Card,18,148.15,2666.7,January
1452,2025-05-17,Electronics,West,Net Banking,5,286.03,1430.15,May
1698,2025-07-31,Electronics,South,Debit Card,2,467.21,934.42,July
1598,2025-07-01,Sports,South,Upi,20,378.16,7563.2,July
1714,2025-08-05,Home & Kitchen,South,Credit Card,22,332.58,7316.76,August
1190,2025-02-27,Toys,West,Net Banking,22,312.13,6866.86,February
1084,2025-01-26,Toys,East,Credit Card,17,87.05,1479.85,January
1570,2025-06-22,Sports,East,Debit Card,4,10.09,40.36,June
1883,2025-09-25,Home & Kitchen,East,Debit Card,22,413.9,9105.8,September
1972,2025-10-22,Books,South,Debit Card,8,234.8,1878.4,October
1099,2025-01-30,Electronics,South,Debit Card,5,280.65,1403.25,January
1558,2025-06-19,Clothing,North,Upi,1,466.94,466.94,June
1774,2025-08-23,Toys,South,Debit Card,11,483.04,5313.44,August
1380,2025-04-26,Home & Kitchen,East,Credit Card,2,118.54,237.08,April
1504,2025-02-06,Sports,South,Cash,21,381.48,8011.08,February
2107,2025-12-02,Home & Kitchen,South,Upi,15,64.62,969.3,December
1419,2025-05-07,Toys,North,Credit Card,24,232.49,5579.76,May
1916,2025-05-10,Clothing,West,Net Banking,15,410.1,6151.5,May
1229,2025-03-11,Books,East,Credit Card,14,348.85,4883.9,March
1232,2025-12-03,Books,North,Upi,15,135.99,2039.85,December
2023,2025-11-07,Toys,West,Cash,9,193.09,1737.81,November
2188,2025-12-27,Clothing,East,Net Banking,14,244.845,3427.83,December
1254,2025-03-18,Home & Kitchen,West,Credit Card,14,450.98,6313.72,March
2190,2025-12-27,Home & Kitchen,South,Debit Card,10,143.77,1437.7,December
1512,2025-05-06,Clothing,West,Credit Card,21,414.64,8707.44,May
1055,2025-01-17,Clothing,West,Net Banking,9,255.29,2297.61,January
1523,2025-06-08,Home & Kitchen,South,Debit Card,22,22.28,490.16,June
1904,2025-02-10,Books,West,Net Banking,21,208.54,4379.34,February
1684,2025-07-27,Clothing,West,Cash,23,108.48,2495.04,July
2116,2025-05-12,Clothing,West,Upi,13,498.89,6485.57,May
1400,2025-02-05,Sports,East,Cash,5,109.2,546.0,February
1098,2025-01-30,Sports,South,Cash,18,310.07,5581.26,January
1408,2025-04-05,Toys,East,Upi,12,237.21,2846.52,April
1637,2025-07-13,Books,West,Credit Card,11,285.47,3140.17,July
2070,2025-11-21,Sports,South,Net Banking,10,57.21,572.1,November
2014,2025-11-04,Sports,West,Cash,1,130.97,130.97,November
1858,2025-09-18,Electronics,East,Credit Card,19,267.32,5079.08,September
1307,2025-04-03,Toys,South,Debit Card,3,358.97,1076.91,April
1013,2025-01-04,Toys,East,Debit Card,3,216.66,649.98,January
2078,2025-11-23,Electronics,East,Debit Card,20,346.21,6924.2,November
1205,2025-03-03,Electronics,South,Credit Card,12,359.62,4315.44,March
1370,2025-04-23,Books,South,Debit Card,15,170.96,2564.4,April
1638,2025-07-13,Electronics,South,Debit Card,24,330.23,7925.52,July
1474,2025-05-24,Electronics,West,Debit Card,9,186.86,1681.74,May
1014,2025-01-04,Sports,South,Net Banking,20,224.06,4481.2,January
2159,2025-12-18,Electronics,North,Net Banking,17,299.86,5097.62,December
1557,2025-06-18,Toys,East,Cash,21,335.59,7047.39,June
2065,2025-11-20,Clothing,West,Upi,2,241.85,483.7,November
1453,2025-05-18,Home & Kitchen,West,Debit Card,22,291.76,6418.72,May
1021,2025-01-07,Sports,North,Net Banking,8,15.85,126.8,January
1619,2025-07-07,Books,East,Credit Card,11,416.32,4579.52,July
1882,2025-09-25,Home & Kitchen,West,Debit Card,24,337.83,8107.92,September
2171,2025-12-22,Sports,North,Net Banking,8,470.74,3765.92,December
1485,2025-05-27,Electronics,East,Net Banking,13,135.31,1759.03,May
1743,2025-08-14,Books,West,Upi,23,114.12,2624.76,August
2015,2025-11-04,Books,North,Cash,5,11.38,56.9,November
1652,2025-07-17,Clothing,West,Cash,14,299.45,4192.3,July
1253,2025-03-18,Books,East,Credit Card,15,166.02,2490.3,March
1206,2025-03-04,Clothing,East,Debit Card,6,139.12,834.72,March
1018,2025-01-06,Toys,North,Debit Card,6,413.25,2479.5,January
1818,2025-09-06,Electronics,East,Credit Card,14,30.06,420.84,September
1510,2025-06-04,Clothing,South,Net Banking,22,385.88,8489.36,June
2027,2025-11-08,Home & Kitchen,East,Credit Card,2,52.01,104.02,November
1432,2025-11-05,Sports,North,Debit Card,21,420.85,8837.85,November
1565,2025-06-21,Sports,East,Credit Card,11,443.0,4873.0,June
1116,2025-04-02,Clothing,West,Upi,5,347.58,1737.9,April
1427,2025-05-10,Clothing,West,Net Banking,23,335.27,7711.21,May
1736,2025-12-08,Books,East,Cash,13,88.26,1147.38,December
1970,2025-10-22,Electronics,South,Credit Card,16,248.95,3983.2,October
1326,2025-04-09,Home & Kitchen,East,Credit Card,2,230.31,460.62,April
2118,2025-12-06,Home & Kitchen,South,Cash,17,180.59,3070.03,December
1386,2025-04-27,Clothing,East,Upi,12,486.67,5840.04,April
1141,2025-02-12,Clothing,West,Credit Card,13,95.8,1245.4,February
1936,2025-11-10,Sports,West,Debit Card,12,241.29,2895.48,November
1870,2025-09-21,Electronics,East,Cash,23,22.16,509.68,September
1791,2025-08-28,Electronics,South,Upi,3,94.69,284.07,August
2161,2025-12-19,Toys,South,Credit Card,23,470.09,10812.07,December
1686,2025-07-27,Books,North,Cash,22,236.01,5192.22,July
1468,2025-05-22,Clothing,North,Net Banking,18,463.93,8350.74,May
1398,2025-05-01,Clothing,West,Debit Card,9,338.63,3047.67,May
1928,2025-09-10,Home & Kitchen,North,Debit Card,6,338.55,2031.3,September
1852,2025-09-16,Clothing,West,Debit Card,7,377.47,2642.29,September
1526,2025-06-09,Clothing,South,Debit Card,14,420.39,5885.46,June
1109,2025-02-02,Electronics,South,Net Banking,10,317.55,3175.5,February
1877,2025-09-23,Toys,West,Net Banking,15,448.37,6725.55,September
2111,2025-12-03,Books,North,Credit Card,21,35.71,749.91,December
2009,2025-11-03,Toys,North,Cash,11,391.01,4301.11,November
1100,2025-01-31,Sports,West,Upi,24,210.81,5059.44,January
1221,2025-03-08,Toys,North,Credit Card,23,139.61,3211.03,March
1337,2025-04-13,Home & Kitchen,East,Cash,24,270.29,6486.96,April
2080,2025-11-24,Toys,South,Cash,22,157.35,3461.7,November
1987,2025-10-27,Electronics,South,Cash,22,473.23,10411.06,October
1285,2025-03-28,Electronics,South,Upi,5,311.67,1558.35,March
1319,2025-04-07,Sports,South,Credit Card,8,326.08,2608.64,April
1490,2025-05-29,Electronics,North,Credit Card,8,248.95,1991.6,May
1208,2025-04-03,Books,East,Credit Card,19,160.34,3046.46,April
1800,2025-08-31,Sports,West,Upi,8,379.86,3038.88,August
1309,2025-04-04,Clothing,North,Debit Card,3,244.845,734.54,April
1592,2025-06-29,Electronics,North,Cash,4,226.12,904.48,June
1859,2025-09-18,Toys,West,Upi,22,237.21,5218.62,September
1621,2025-07-08,Sports,East,Net Banking,17,368.79,6269.43,July
1317,2025-04-06,Electronics,North,Debit Card,16,346.99,5551.84,April
1024,2025-07-01,Clothing,East,Upi,9,32.81,295.29,July
1653,2025-07-17,Sports,South,Net Banking,10,370.74,3707.4,July
1857,2025-09-17,Books,North,Net Banking,3,200.31,600.93,September
1762,2025-08-20,Clothing,South,Debit Card,20,457.96,9159.2,August
1375,2025-04-24,Clothing,West,Credit Card,8,469.29,3754.32,April
1187,2025-02-26,Sports,West,Net Banking,21,261.41,5489.61,February
1549,2025-06-16,Clothing,South,Credit Card,21,14.48,304.08,June
1199,2025-02-03,Home & Kitchen,South,Cash,5,328.8,1644.0,February
2061,2025-11-18,Clothing,North,Credit Card,12,102.14,1225.68,November
1124,2025-07-02,Sports,West,Credit Card,18,397.42,7153.56,July
1595,2025-06-30,Books,South,Net Banking,23,238.13,5476.99,June
1813,2025-09-04,Home & Kitchen,North,Net Banking,15,72.05,1080.75,September
2055,2025-11-16,Sports,East,Debit Card,5,97.39,486.95,November
1772,2025-08-23,Sports,West,Credit Card,23,8.16,187.68,August
1704,2025-02-08,Sports,South,Credit Card,13,84.8,1102.4,February
1921,2025-10-07,Home & Kitchen,West,Upi,23,109.11,2509.53,October
1923,2025-10-07,Clothing,West,Cash,17,130.25,2214.25,October
1148,2025-02-14,Sports,West,Cash,2,451.38,902.76,February
1942,2025-10-13,Toys,South,Debit Card,17,314.54,5347.18,October
1519,2025-06-07,Books,North,Cash,15,455.75,6836.25,June
1225,2025-03-10,Home & Kitchen,East,Upi,18,320.01,5760.18,March
2003,2025-11-01,Toys,West,Net Banking,16,416.6,6665.6,November
1071,2025-01-22,Toys,East,Upi,24,338.45,8122.8,January
1839,2025-09-12,Electronics,West,Cash,21,215.93,4534.53,September
1284,2025-03-27,Home & Kitchen,North,Net Banking,4,419.37,1677.48,March
1172,2025-02-21,Books,North,Net Banking,18,355.84,6405.12,February
1356,2025-04-18,Toys,West,Cash,10,432.18,4321.8,April
1169,2025-02-21,Books,East,Net Banking,19,234.8,4461.2,February
1264,2025-03-21,Home & Kitchen,North,Credit Card,10,375.35,3753.5,March
1658,2025-07-19,Sports,North,Debit Card,8,90.4,723.2,July
1390,2025-04-29,Electronics,West,Net Banking,18,142.79,2570.22,April
1126,2025-02-07,Books,South,Debit Card,17,239.76,4075.92,February
2088,2025-11-26,Clothing,South,Cash,21,235.76,4950.96,November
2062,2025-11-19,Sports,East,Debit Card,7,67.15,470.05,November
1165,2025-02-19,Electronics,North,Cash,15,178.51,2677.65,February
1446,2025-05-16,Sports,South,Net Banking,19,229.73,4364.87,May
2092,2025-11-28,Electronics,South,Net Banking,6,182.52,1095.12,November
1657,2025-07-19,Home & Kitchen,North,Debit Card,6,56.12,336.72,July
2120,2025-06-12,Toys,South,Debit Card,4,62.0,248.0,June
1043,2025-01-13,Sports,East,Upi,3,128.73,386.19,January
2186,2025-12-26,Toys,East,Debit Card,13,15.92,206.96,December
1927,2025-10-09,Toys,North,Credit Card,13,489.68,6365.84,October
2114,2025-12-04,Clothing,North,Net Banking,4,85.15,340.6,December
1265,2025-03-22,Books,North,Debit Card,21,404.3,8490.3,March
1133,2025-02-10,Toys,South,Cash,22,237.21,5218.62,February
1552,2025-06-17,Clothing,North,Upi,9,388.75,3498.75,June
1335,2025-04-12,Toys,East,Credit Card,23,402.39,9254.97,April
1039,2025-01-12,Books,East,Debit Card,22,344.14,7571.08,January
1531,2025-06-10,Sports,North,Debit Card,6,29.56,177.36,June
2109,2025-12-03,Clothing,East,Credit Card,19,484.81,9211.39,December
1327,2025-04-09,Toys,North,Upi,2,335.54,671.08,April
1167,2025-02-20,Toys,East,Net Banking,11,39.01,429.11,February
1934,2025-10-11,Electronics,North,Cash,17,342.85,5828.45,October
1072,2025-01-22,Toys,East,Credit Card,1,93.73,93.73,January
1628,2025-10-07,Clothing,West,Cash,9,86.38,777.42,October
1721,2025-08-07,Toys,North,Debit Card,5,307.86,1539.3,August
1958,2025-10-18,Home & Kitchen,West,Upi,23,133.0,3059.0,October
2146,2025-12-14,Electronics,West,Credit Card,4,436.6,1746.4,December
1271,2025-03-23,Home & Kitchen,South,Debit Card,3,69.39,208.17,March
1005,2025-01-02,Sports,North,Debit Card,13,187.38,2435.94,January
1717,2025-08-06,Electronics,East,Credit Card,9,277.58,2498.22,August
1981,2025-10-25,Toys,North,Cash,20,265.11,5302.2,October
1695,2025-07-30,Books,North,Credit Card,11,155.13,1706.43,July
1755,2025-08-17,Books,South,Debit Card,17,413.11,7022.87,August
1362,2025-04-20,Sports,East,Cash,20,498.63,9972.6,April
1306,2025-04-03,Clothing,West,Debit Card,11,403.18,4434.98,April
1527,2025-06-09,Home & Kitchen,West,Cash,10,84.54,845.4,June
1768,2025-08-21,Toys,West,Upi,1,288.66,288.66,August
2017,2025-11-05,Clothing,West,Debit Card,5,426.32,2131.6,November
2082,2025-11-25,Books,East,Upi,12,449.48,5393.76,November
1095,2025-01-29,Books,North,Net Banking,4,120.93,483.72,January
1096,2025-01-29,Books,North,Net Banking,17,113.68,1932.56,January
2127,2025-12-08,Toys,South,Cash,10,35.42,354.2,December
2012,2025-03-11,Home & Kitchen,East,Debit Card,17,272.32000000000005,4629.44,March
1632,2025-11-07,Home & Kitchen,West,Cash,18,175.26,3154.68,November
2035,2025-11-10,Books,South,Debit Card,7,497.81,3484.67,November
1059,2025-01-18,Books,South,Debit Card,16,199.4,3190.4,January
2054,2025-11-16,Books,South,Debit Card,9,311.49,2803.41,November
2173,2025-12-22,Home & Kitchen,West,Debit Card,18,438.19,7887.42,December
1025,2025-01-08,Toys,North,Credit Card,12,248.09,2977.08,January
1667,2025-07-22,Toys,East,Debit Card,13,177.02,2301.26,July
1245,2025-03-16,Books,West,Credit Card,17,440.2,7483.4,March
1026,2025-01-08,Sports,South,Net Banking,13,463.92,6030.96,January
1223,2025-03-09,Electronics,East,Cash,11,135.71,1492.81,March
1672,2025-07-23,Toys,South,Debit Card,9,117.13,1054.17,July
1106,2025-02-01,Books,North,Net Banking,14,252.56,3535.84,February
2091,2025-11-27,Home & Kitchen,North,Net Banking,15,280.45,4206.75,November
1131,2025-02-09,Home & Kitchen,South,Upi,13,9.94,129.22,February
1154,2025-02-16,Sports,West,Net Banking,12,484.19,5810.28,February
2073,2025-11-22,Electronics,North,Credit Card,11,120.7,1327.7,November
1982,2025-10-25,Clothing,North,Debit Card,4,706.21125,2824.84,October
1359,2025-04-19,Home & Kitchen,East,Net Banking,8,370.03,2960.24,April
1832,2025-09-10,Toys,South,Net Banking,24,141.24,3389.76,September
1076,2025-01-23,Sports,East,Cash,19,86.82,1649.58,January
1951,2025-10-16,Home & Kitchen,West,Upi,20,173.95,3479.0,October
2075,2025-11-23,Toys,West,Net Banking,7,410.93,2876.51,November
1499,2025-06-01,Sports,West,Debit Card,8,107.73,861.84,June
1794,2025-08-29,Books,South,Net Banking,19,157.07,2984.33,August
1994,2025-10-29,Home & Kitchen,South,Net Banking,23,298.76,6871.48,October
1856,2025-09-17,Clothing,West,Cash,20,170.53,3410.6,September
1200,2025-02-03,Toys,East,Net Banking,17,445.12,7567.04,February
1869,2025-09-21,Clothing,South,Debit Card,13,33.06,429.78,September
1135,2025-02-10,Electronics,North,Upi,5,411.59,2057.95,February
1529,2025-06-10,Electronics,West,Cash,3,227.27,681.81,June
1260,2025-03-20,Electronics,South,Upi,11,38.29,421.19,March
1611,2025-07-05,Books,East,Cash,11,455.04,5005.44,July
1004,2025-01-01,Sports,West,Debit Card,11,138.08,1518.88,January
1831,2025-09-09,Electronics,North,Upi,24,248.95,5974.8,September
1211,2025-03-05,Home & Kitchen,West,Credit Card,12,215.3,2583.6,March
1197,2025-03-01,Clothing,South,Net Banking,11,380.56,4186.16,March
1599,2025-07-01,Home & Kitchen,North,Net Banking,18,291.06,5239.08,July
2179,2025-12-24,Home & Kitchen,North,Credit Card,16,260.56,4168.96,December
1719,2025-08-06,Electronics,West,Net Banking,10,417.65,4176.5,August
1027,2025-01-08,Books,North,Debit Card,11,57.17,628.87,January
1511,2025-06-04,Books,South,Debit Card,10,234.8,2348.0,June
1603,2025-07-02,Books,South,Upi,15,234.8,3522.0,July
1829,2025-09-09,Clothing,East,Upi,4,201.85,807.4,September
2136,2025-11-12,Books,East,Debit Card,17,203.72,3463.24,November
1340,2025-04-13,Toys,North,Upi,13,81.08,1054.04,April
1062,2025-01-19,Sports,South,Credit Card,1,100.96,100.96,January
1542,2025-06-14,Sports,East,Upi,23,387.52,8912.96,June
2036,2025-11-11,Sports,South,Cash,15,241.29,3619.35,November
1458,2025-05-19,Clothing,South,Net Banking,15,189.23,2838.45,May
1914,2025-10-05,Clothing,South,Net Banking,2,390.86,781.72,October
1643,2025-07-14,Sports,West,Debit Card,2,414.14,828.28,July
1779,2025-08-25,Sports,West,Cash,13,241.29,3136.77,August
1715,2025-08-05,Home & Kitchen,West,Upi,22,43.02,946.44,August
1661,2025-07-20,Books,South,Upi,11,469.47,5164.17,July
1692,2025-07-29,Books,South,Cash,2,412.69,825.38,July
1479,2025-05-26,Home & Kitchen,East,Net Banking,24,91.69,2200.56,May
1894,2025-09-29,Home & Kitchen,South,Upi,9,82.32,740.88,September
1009,2025-01-03,Home & Kitchen,East,Credit Card,19,229.9,4368.1,January
1447,2025-05-16,Clothing,East,Net Banking,19,382.41,7265.79,May
1688,2025-07-28,Electronics,South,Debit Card,6,421.25,2527.5,July
2048,2025-11-14,Clothing,East,Cash,8,348.24,2785.92,November
1509,2025-06-04,Books,North,Cash,22,499.78,10995.16,June
1663,2025-07-20,Electronics,West,Net Banking,1,491.87,491.87,July
1935,2025-10-11,Home & Kitchen,North,Net Banking,17,289.8,4926.6,October
1620,2025-07-07,Home & Kitchen,South,Debit Card,1,64.35,64.35,July
1075,2025-01-23,Toys,North,Debit Card,20,63.19,1263.8,January
1569,2025-06-22,Electronics,North,Cash,7,481.86,3373.02,June
1873,2025-09-22,Books,South,Debit Card,16,100.75,1612.0,September
1058,2025-01-18,Books,East,Upi,11,55.77,613.47,January
2032,2025-09-11,Clothing,West,Cash,13,224.83,2922.79,September
1596,2025-06-30,Electronics,South,Net Banking,5,332.65,1663.25,June
1298,2025-04-01,Books,South,Net Banking,8,464.45,3715.6,April
1697,2025-07-31,Electronics,North,Upi,16,63.73,1019.68,July
1218,2025-03-07,Clothing,South,Debit Card,11,411.81,4529.91,March
1993,2025-10-29,Home & Kitchen,South,Credit Card,24,318.69,7648.56,October
1674,2025-07-24,Clothing,West,Cash,4,244.845,979.38,July
1345,2025-04-15,Books,South,Debit Card,9,298.46,2686.14,April
2150,2025-12-15,Electronics,East,Credit Card,17,272.44,4631.48,December
1397,2025-05-01,Home & Kitchen,North,Net Banking,8,180.88,1447.04,May
1689,2025-07-28,Electronics,East,Upi,4,114.51,458.04,July
1926,2025-10-08,Toys,South,Cash,9,67.35,606.15,October
1769,2025-08-22,Clothing,South,Credit Card,13,165.98,2157.74,August
2047,2025-11-14,Electronics,West,Net Banking,9,248.95,2240.55,November
1890,2025-09-27,Books,North,Upi,23,337.28,7757.44,September
1862,2025-09-19,Toys,North,Credit Card,12,381.28,4575.36,September
1888,2025-09-27,Toys,North,Credit Card,17,370.29,6294.93,September
1267,2025-03-22,Electronics,North,Credit Card,12,498.83,5985.96,March
1007,2025-01-02,Home & Kitchen,North,Debit Card,14,334.9,4688.6,January
1886,2025-09-26,Electronics,South,Net Banking,21,201.51,4231.71,September
1123,2025-02-07,Toys,West,Credit Card,4,13.97,55.88,February
1645,2025-07-15,Toys,East,Credit Card,21,56.7,1190.7,July
1139,2025-02-11,Home & Kitchen,East,Net Banking,13,396.82,5158.66,February
1164,2025-02-19,Toys,North,Net Banking,13,113.96,1481.48,February
1740,2025-08-13,Books,South,Debit Card,9,253.7,2283.3,August
2158,2025-12-18,Clothing,West,Cash,7,219.22,1534.54,December
2077,2025-11-23,Toys,East,Net Banking,6,251.57,1509.42,November
1044,2025-01-14,Home & Kitchen,North,Cash,13,259.93,3379.09,January
1786,2025-08-27,Sports,North,Upi,5,303.75,1518.75,August
2184,2025-12-26,Toys,North,Debit Card,19,405.79,7710.01,December
1320,2025-07-04,Books,South,Net Banking,17,141.27,2401.59,July
1807,2025-09-02,Electronics,West,Debit Card,20,303.21,6064.2,September
1802,2025-09-01,Sports,North,Credit Card,21,46.64,979.44,September
1494,2025-05-30,Books,South,Net Banking,3,51.42,154.26,May
1295,2025-03-31,Electronics,West,Upi,4,197.67,790.68,March
1644,2025-07-15,Toys,East,Credit Card,15,401.49,6022.35,July
1564,2025-06-20,Clothing,West,Upi,16,473.84,7581.44,June
1612,2025-05-07,Home & Kitchen,North,Cash,13,160.37,2084.81,May
1505,2025-06-03,Clothing,South,Credit Card,11,81.47,896.17,June
1020,2025-06-01,Books,West,Cash,16,224.74,3595.84,June
1410,2025-05-05,Books,South,Upi,4,402.88,1611.52,May
1559,2025-06-19,Home & Kitchen,East,Debit Card,23,136.42,3137.66,June
1964,2025-10-20,Electronics,West,Credit Card,17,151.49,2575.33,October
1705,2025-08-02,Sports,East,Debit Card,4,329.92,1319.68,August
2096,2025-11-29,Home & Kitchen,North,Net Banking,1,33.16,33.16,November
1948,2025-10-15,Home & Kitchen,North,Debit Card,17,272.32000000000005,4629.44,October
