order_id,order_date,category,region,payment_mode,units_sold,unit_price,revenue
1699,31-Jul-2025,TOYS,west,Credit Card,2.0,343.51,687.02
1110,03/02/2025,  Home & Kitchen  ,East,Cash,19.0,268.59,5103.21
2024,11/07/2025,ELECTRONICS,south,Cash,19.0,305.53,5805.07
2006,02/11/2025,toys,East,Credit Card,17.0,56.2,955.4
1642,14/07/2025,  Electronics  ,North,,6.0,10.35,62.1
2095,29-Nov-2025,sports,South,Credit Card,9.0,161.31,1451.79
1061,2025-01-19,books,East,Net Banking,4.0,254.05,1016.2
1880,09/24/2025,Sports,East,Debit Card,7.0,208.6,1460.2
1922,07/10/2025,Electronics,North,Cash,7.0,383.85,2686.95
1908,10/03/2025,sports,South,Debit Card,1.0,426.03,426.03
1142,12/02/2025,CLOTHING,NORTH,Debit Card,22.0,,
1413,2025-05-06,Clothing,EAST,Net Banking,19.0,255.23,4849.37
2147,2025-12-14,sports,South,Net Banking,9.0,290.61,2615.49
1876,09/23/2025,CLOTHING,North,Cash,16.0,443.61,7097.76
1114,04/02/2025,SPORTS,East,Credit Card,21.0,171.92,3610.32
2043,13-Nov-2025,Electronics,SOUTH,Credit Card,20.0,161.04,3220.8
1956,10/17/2025,Toys,South,Net Banking,14.0,11.77,164.78
1879,24-Sep-2025,clothing,SOUTH,Cash,4.0,118.85,475.4
1472,05/23/2025,  Sports  ,east,Debit Card,2.0,190.4,380.8
2175,23-Dec-2025,HOME & KITCHEN,EAST,Net Banking,1.0,92.69,92.69
1352,04/17/2025,Books,,UPI,22.0,441.08,9703.76
1010,03/01/2025,sports,  South  ,Cash,22.0,316.97,6973.34
1368,04/22/2025,  Books  ,South,UPI,21.0,424.46,8913.66
1054,17/01/2025,electronics,east,Debit Card,15.0,180.44,2706.6
1524,06/08/2025,BOOKS,North,Net Banking,17.0,277.82,4722.94
2123,07-Dec-2025,Electronics,East,Net Banking,9.0,196.7,1770.3
2129,2025-12-09,  Home & Kitchen  ,North,Debit Card,9.0,470.55,4234.95
1286,28/03/2025,Electronics,west,Cash,1.0,283.88,283.88
1180,02/24/2025,Electronics,north,Net Banking,8.0,276.47,2211.76
1041,2025-01-13,Electronics,East,Debit Card,18.0,148.15,2666.7
1452,05/17/2025,Electronics,West,Net Banking,5.0,286.03,1430.15
1698,31/07/2025,Electronics,South,Debit Card,2.0,467.21,934.42
1598,01/07/2025,Sports,South,UPI,20.0,378.16,7563.2
1714,05/08/2025,Home & Kitchen,South,Credit Card,22.0,332.58,7316.76
1190,27/02/2025,Toys,WEST,Net Banking,22.0,312.13,6866.86
1084,01/26/2025,Toys,east,Credit Card,17.0,87.05,1479.85
1570,22/06/2025,SPORTS,east,Debit Card,4.0,10.09,40.36
1883,25-Sep-2025,home & kitchen,east,Debit Card,22.0,413.9,9105.8
1972,10/22/2025,  Books  ,South,Debit Card,8.0,,
1099,30-Jan-2025,ELECTRONICS,South,Debit Card,5.0,280.65,1403.25
1558,19/06/2025,Clothing,north,UPI,1.0,466.94,466.94
1774,23/08/2025,TOYS,South,Debit Card,11.0,483.04,5313.44
1380,04/26/2025,Home & Kitchen,  East  ,Credit Card,2.0,118.54,237.08
1504,06/02/2025,Sports,South,Cash,21.0,381.48,8011.08
2107,02-Dec-2025,Home & Kitchen,SOUTH,UPI,15.0,64.62,969.3
1419,07-May-2025,Toys,NORTH,Credit Card,24.0,232.49,5579.76
1916,10/05/2025,Clothing,west,Net Banking,15.0,410.1,6151.5
1229,2025-03-11,BOOKS,EAST,Credit Card,14.0,348.85,4883.9
1232,03/12/2025,Books,north,UPI,15.0,135.99,2039.85
2023,07-Nov-2025,Toys,West,Cash,9.0,193.09,1737.81
2188,12/27/2025,Clothing,  East  ,Net Banking,14.0,,
1254,18/03/2025,Home & Kitchen,  West  ,Credit Card,14.0,450.98,6313.72
2190,27/12/2025,Home & Kitchen,,Debit Card,10.0,143.77,1437.7
1512,06/05/2025,Clothing,West,Credit Card,21.0,414.64,8707.44
1055,17-Jan-2025,Clothing,West,Net Banking,9.0,255.29,2297.61
1523,08-Jun-2025,Home & Kitchen,South,Debit Card,22.0,22.28,490.16
1904,10/02/2025,books,WEST,Net Banking,21.0,208.54,4379.34
1684,27/07/2025,  Clothing  ,west,Cash,23.0,108.48,2495.04
2116,12/05/2025,CLOTHING,WEST,UPI,13.0,498.89,6485.57
1400,05/02/2025,Sports,east,Cash,5.0,109.2,546.0
1098,30/01/2025,  Sports  ,south,Cash,18.0,310.07,5581.26
1408,05/04/2025,Toys,east,UPI,12.0,,
1637,2025-07-13,books,  West  ,Credit Card,11.0,285.47,3140.17
2070,21/11/2025,Sports,south,Net Banking,10.0,57.21,572.1
2014,04/11/2025,sports,  West  ,Cash,1.0,130.97,130.97
1858,18/09/2025,ELECTRONICS,East,Credit Card,19.0,267.32,5079.08
1307,03-Apr-2025,Toys,  South  ,,3.0,358.97,1076.91
1013,2025-01-04,Toys,East,Debit Card,3.0,216.66,649.98
2078,23/11/2025,electronics,EAST,,20.0,346.21,6924.2
1205,2025-03-03,ELECTRONICS,south,Credit Card,12.0,359.62,4315.44
1370,23/04/2025,  Books  ,South,,15.0,170.96,2564.4
1638,13/07/2025,Electronics,South,Debit Card,24.0,330.23,7925.52
1474,24/05/2025,ELECTRONICS,  West  ,Debit Card,9.0,186.86,1681.74
1014,04/01/2025,sports,south,Net Banking,20.0,224.06,4481.2
2159,18-Dec-2025,Electronics,NORTH,Net Banking,17.0,299.86,5097.62
1557,2025-06-18,TOYS,East,Cash,21.0,335.59,7047.39
2065,2025-11-20,clothing,West,UPI,2.0,241.85,483.7
1453,2025-05-18,Home & Kitchen,west,,22.0,291.76,6418.72
1021,2025-01-07,SPORTS,North,Net Banking,8.0,15.85,126.8
1619,07-Jul-2025,Books,EAST,Credit Card,11.0,416.32,4579.52
1307,03/04/2025,Toys,South,,3.0,358.97,1076.91
1882,25/09/2025,Home & Kitchen,West,Debit Card,24.0,337.83,8107.92
2171,22-Dec-2025,Sports,NORTH,Net Banking,8.0,470.74,3765.92
1485,2025-05-27,electronics,EAST,Net Banking,13.0,135.31,1759.03
1743,14-Aug-2025,Books,West,UPI,23.0,114.12,2624.76
2015,04-Nov-2025,BOOKS,North,Cash,5.0,11.38,56.9
1652,07/17/2025,Clothing,West,Cash,14.0,299.45,4192.3
1253,2025-03-18,Books,  East  ,Credit Card,15.0,166.02,2490.3
1206,04/03/2025,Clothing,  East  ,,6.0,139.12,834.72
1018,06/01/2025,Toys,North,Debit Card,6.0,413.25,2479.5
1818,06/09/2025,Electronics,EAST,Credit Card,14.0,30.06,420.84
1510,04/06/2025,Clothing,,Net Banking,22.0,385.88,8489.36
2027,08-Nov-2025,HOME & KITCHEN,EAST,Credit Card,2.0,52.01,104.02
1432,05/11/2025,Sports,NORTH,Debit Card,21.0,420.85,8837.85
1565,2025-06-21,SPORTS,EAST,Credit Card,11.0,443.0,4873.0
1116,02/04/2025,clothing,West,UPI,5.0,347.58,1737.9
1427,10-May-2025,Clothing,West,Net Banking,23.0,335.27,7711.21
1736,08/12/2025,BOOKS,east,Cash,13.0,88.26,1147.38
1970,22/10/2025,Electronics,,Credit Card,16.0,,
1326,09/04/2025,HOME & KITCHEN,East,Credit Card,2.0,230.31,460.62
2118,06/12/2025,Home & Kitchen,South,Cash,17.0,180.59,3070.03
1386,27/04/2025,Clothing,East,UPI,12.0,486.67,5840.04
1141,2025-02-12,clothing,West,Credit Card,13.0,95.8,1245.4
1936,10/11/2025,Sports,West,Debit Card,12.0,,
1870,21/09/2025,ELECTRONICS,east,Cash,23.0,22.16,509.68
1791,28-Aug-2025,electronics,  South  ,UPI,3.0,94.69,284.07
2161,2025-12-19,TOYS,South,Credit Card,23.0,470.09,10812.07
1686,27/07/2025,BOOKS,North,Cash,22.0,236.01,5192.22
1468,05/22/2025,Clothing,North,Net Banking,18.0,463.93,8350.74
1398,01/05/2025,Clothing,West,Debit Card,9.0,338.63,3047.67
1928,10/09/2025,Home & Kitchen,North,Debit Card,6.0,338.55,2031.3
1852,09/16/2025,  Clothing  ,WEST,Debit Card,7.0,377.47,2642.29
1526,09/06/2025,  Clothing  ,,Debit Card,14.0,420.39,5885.46
1109,2025-02-02,ELECTRONICS,South,Net Banking,10.0,317.55,3175.5
1877,2025-09-23,Toys,WEST,Net Banking,15.0,448.37,6725.55
2111,03-Dec-2025,BOOKS,NORTH,Credit Card,21.0,35.71,749.91
2009,2025-11-03,Toys,North,Cash,11.0,391.01,4301.11
1100,01/31/2025,Sports,West,UPI,24.0,210.81,5059.44
1221,2025-03-08,Toys,NORTH,Credit Card,23.0,139.61,3211.03
1337,2025-04-13,Home & Kitchen,East,Cash,24.0,270.29,6486.96
2080,11/24/2025,Toys,south,Cash,22.0,157.35,3461.7
1987,27-Oct-2025,  Electronics  ,  South  ,Cash,22.0,473.23,10411.06
1285,2025-03-28,electronics,South,UPI,5.0,311.67,1558.35
1319,07-Apr-2025,Sports,South,Credit Card,8.0,326.08,2608.64
1490,29/05/2025,electronics,North,Credit Card,8.0,,
1208,03/04/2025,Books,East,Credit Card,19.0,160.34,3046.46
1800,08/31/2025,sports,west,UPI,8.0,379.86,3038.88
1309,2025-04-04,  Clothing  ,North,Debit Card,3.0,,
1592,06/29/2025,Electronics,  North  ,Cash,4.0,226.12,904.48
1859,18-Sep-2025,toys,West,UPI,22.0,,
1621,2025-07-08,Sports,EAST,Net Banking,17.0,368.79,6269.43
1317,2025-04-06,Electronics,North,Debit Card,16.0,346.99,5551.84
1024,01/07/2025,Clothing,East,UPI,9.0,32.81,295.29
1653,2025-07-17,Sports,south,Net Banking,10.0,370.74,3707.4
1857,2025-09-17,Books,North,Net Banking,3.0,200.31,600.93
1762,20/08/2025,Clothing,South,Debit Card,20.0,457.96,9159.2
1375,24-Apr-2025,Clothing,west,Credit Card,8.0,469.29,3754.32
1187,26-Feb-2025,sports,WEST,Net Banking,21.0,261.41,5489.61
1549,2025-06-16,clothing,South,Credit Card,21.0,14.48,304.08
1199,03/02/2025,  Home & Kitchen  ,SOUTH,Cash,5.0,328.8,1644.0
2061,2025-11-18,  Clothing  ,NORTH,Credit Card,12.0,102.14,1225.68
1124,02/07/2025,  Sports  ,WEST,Credit Card,18.0,397.42,7153.56
1595,30-Jun-2025,books,  South  ,Net Banking,23.0,238.13,5476.99
1813,2025-09-04,HOME & KITCHEN,north,Net Banking,,72.05,
2055,16-Nov-2025,SPORTS,EAST,Debit Card,5.0,97.39,486.95
1772,08/23/2025,Sports,  West  ,Credit Card,23.0,8.16,187.68
1704,08/02/2025,Sports,,Credit Card,,84.8,
1921,2025-10-07,HOME & KITCHEN,West,UPI,23.0,109.11,2509.53
1923,07-Oct-2025,CLOTHING,  West  ,Cash,17.0,130.25,2214.25
1148,02/14/2025,sports,west,Cash,2.0,451.38,902.76
1942,13/10/2025,Toys,South,Debit Card,17.0,314.54,5347.18
1519,07-Jun-2025,Books,North,Cash,,455.75,
1225,2025-03-10,Home & Kitchen,EAST,UPI,18.0,320.01,5760.18
2003,01-Nov-2025,Toys,West,Net Banking,16.0,416.6,6665.6
1071,22-Jan-2025,TOYS,East,UPI,24.0,338.45,8122.8
1839,12-Sep-2025,Electronics,West,Cash,21.0,215.93,4534.53
1284,03/27/2025,home & kitchen,north,Net Banking,4.0,419.37,1677.48
1172,02/21/2025,BOOKS,North,Net Banking,18.0,355.84,6405.12
1356,04/18/2025,TOYS,West,Cash,10.0,432.18,4321.8
1169,2025-02-21,BOOKS,East,Net Banking,19.0,234.8,4461.2
1264,03/21/2025,Home & Kitchen,  North  ,Credit Card,10.0,375.35,3753.5
1658,19/07/2025,Sports,North,Debit Card,8.0,90.4,723.2
1390,29/04/2025,Electronics,West,Net Banking,18.0,142.79,2570.22
1126,07/02/2025,Books,south,Debit Card,17.0,239.76,4075.92
2088,11/26/2025,Clothing,,Cash,21.0,235.76,4950.96
2062,19/11/2025,Sports,  East  ,Debit Card,7.0,67.15,470.05
1165,2025-02-19,Electronics,North,Cash,15.0,178.51,2677.65
1446,16/05/2025,sports,  South  ,Net Banking,19.0,229.73,4364.87
2092,11/28/2025,Electronics,South,Net Banking,6.0,182.52,1095.12
1657,2025-07-19,home & kitchen,North,Debit Card,6.0,56.12,336.72
2120,12/06/2025,  Toys  ,South,,4.0,62.0,248.0
1043,13-Jan-2025,SPORTS,EAST,UPI,3.0,128.73,386.19
2186,26/12/2025,  Toys  ,EAST,Debit Card,13.0,15.92,206.96
1927,09-Oct-2025,Toys,NORTH,Credit Card,13.0,489.68,6365.84
2114,04/12/2025,CLOTHING,NORTH,Net Banking,4.0,85.15,340.6
1265,2025-03-22,books,North,Debit Card,21.0,404.3,8490.3
1133,2025-02-10,toys,South,Cash,22.0,,
1552,06/17/2025,Clothing,  North  ,UPI,9.0,388.75,3498.75
1335,12-Apr-2025,TOYS,east,Credit Card,23.0,402.39,9254.97
1039,12-Jan-2025,Books,EAST,Debit Card,22.0,344.14,7571.08
1531,10-Jun-2025,  Sports  ,north,Debit Card,6.0,29.56,177.36
2109,2025-12-03,  Clothing  ,EAST,Credit Card,19.0,484.81,9211.39
1327,09-Apr-2025,TOYS,North,UPI,2.0,335.54,671.08
1167,20-Feb-2025,toys,east,Net Banking,11.0,39.01,429.11
1934,11/10/2025,electronics,North,Cash,17.0,342.85,5828.45
1072,01/22/2025,Toys,East,Credit Card,1.0,93.73,93.73
1628,07/10/2025,clothing,West,Cash,9.0,86.38,777.42
1721,2025-08-07,toys,NORTH,,5.0,307.86,1539.3
1958,18/10/2025,Home & Kitchen,West,UPI,23.0,133.0,3059.0
2146,14/12/2025,Electronics,west,Credit Card,4.0,436.6,1746.4
1271,23-Mar-2025,home & kitchen,  South  ,Debit Card,3.0,69.39,208.17
1005,2025-01-02,sports,North,,13.0,187.38,2435.94
1717,2025-08-06,Electronics,EAST,Credit Card,9.0,277.58,2498.22
1981,2025-10-25,Toys,North,Cash,20.0,265.11,5302.2
1695,30-Jul-2025,Books,north,Credit Card,11.0,155.13,1706.43
1755,17-Aug-2025,BOOKS,South,Debit Card,17.0,413.11,7022.87
1362,20/04/2025,sports,east,Cash,20.0,498.63,9972.6
1306,03/04/2025,clothing,West,Debit Card,11.0,403.18,4434.98
1527,09-Jun-2025,Home & Kitchen,WEST,Cash,10.0,84.54,845.4
1768,08/21/2025,Toys,west,UPI,1.0,288.66,288.66
2017,2025-11-05,CLOTHING,  West  ,Debit Card,5.0,426.32,2131.6
2082,25/11/2025,books,East,UPI,12.0,449.48,5393.76
1095,29-Jan-2025,Books,NORTH,Net Banking,4.0,120.93,483.72
1096,01/29/2025,Books,North,Net Banking,17.0,113.68,1932.56
2127,08-Dec-2025,Toys,South,Cash,10.0,35.42,354.2
2012,11/03/2025,  Home & Kitchen  ,East,Debit Card,17.0,,
1632,07/11/2025,Home & Kitchen,west,Cash,18.0,175.26,3154.68
2035,10-Nov-2025,  Books  ,South,Debit Card,7.0,497.81,3484.67
1059,18-Jan-2025,Books,South,Debit Card,16.0,199.4,3190.4
2054,16/11/2025,Books,SOUTH,Debit Card,9.0,311.49,2803.41
1284,27/03/2025,Home & Kitchen,north,Net Banking,4.0,419.37,1677.48
2173,2025-12-22,HOME & KITCHEN,  West  ,Debit Card,18.0,438.19,7887.42
1025,2025-01-08,  Toys  ,North,Credit Card,12.0,248.09,2977.08
1667,22-Jul-2025,Toys,east,Debit Card,13.0,177.02,2301.26
1245,2025-03-16,Books,west,Credit Card,17.0,440.2,7483.4
1026,08/01/2025,  Sports  ,South,Net Banking,,463.92,
1223,09-Mar-2025,ELECTRONICS,East,Cash,11.0,135.71,1492.81
1672,07/23/2025,Toys,,Debit Card,9.0,117.13,1054.17
1106,01/02/2025,books,North,Net Banking,14.0,252.56,3535.84
2091,27-Nov-2025,home & kitchen,north,Net Banking,,280.45,
1131,09-Feb-2025,Home & Kitchen,South,UPI,13.0,9.94,129.22
1154,16/02/2025,Sports,  West  ,Net Banking,12.0,484.19,5810.28
2073,2025-11-22,Electronics,North,Credit Card,11.0,120.7,1327.7
1982,25/10/2025,clothing,North,Debit Card,4.0,9699.698957941508,38798.8
1359,19-Apr-2025,Home & Kitchen,East,Net Banking,8.0,370.03,2960.24
1832,10/09/2025,Toys,,Net Banking,24.0,141.24,3389.76
1076,01/23/2025,Sports,east,Cash,19.0,86.82,1649.58
1951,16-Oct-2025,Home & Kitchen,West,UPI,20.0,173.95,3479.0
2075,23-Nov-2025,Toys,West,Net Banking,7.0,410.93,2876.51
1499,01-Jun-2025,Sports,west,Debit Card,8.0,107.73,861.84
1794,29/08/2025,books,SOUTH,Net Banking,19.0,157.07,2984.33
1994,29/10/2025,Home & Kitchen,,Net Banking,23.0,298.76,6871.48
1856,09/17/2025,Clothing,WEST,Cash,20.0,170.53,3410.6
1200,03/02/2025,Toys,east,Net Banking,17.0,445.12,7567.04
1869,2025-09-21,Clothing,  South  ,Debit Card,13.0,33.06,429.78
1135,10-Feb-2025,ELECTRONICS,north,UPI,5.0,411.59,2057.95
1529,2025-06-10,Electronics,WEST,Cash,3.0,227.27,681.81
1260,03/20/2025,electronics,SOUTH,UPI,11.0,38.29,421.19
1611,05-Jul-2025,Books,East,Cash,11.0,455.04,5005.44
1004,01/01/2025,SPORTS,West,Debit Card,11.0,138.08,1518.88
1831,09-Sep-2025,Electronics,NORTH,UPI,24.0,,
1211,05-Mar-2025,home & kitchen,  West  ,Credit Card,12.0,215.3,2583.6
1197,2025-03-01,Clothing,  South  ,Net Banking,11.0,380.56,4186.16
1599,01-Jul-2025,home & kitchen,north,Net Banking,18.0,291.06,5239.08
2179,24-Dec-2025,Home & Kitchen,north,Credit Card,16.0,260.56,4168.96
1719,06-Aug-2025,ELECTRONICS,WEST,Net Banking,10.0,417.65,4176.5
1027,08-Jan-2025,books,North,,11.0,57.17,628.87
1511,04-Jun-2025,  Books  ,  South  ,Debit Card,10.0,,
1603,02-Jul-2025,Books,SOUTH,UPI,,,
1829,2025-09-09,Clothing,EAST,UPI,4.0,201.85,807.4
2136,12/11/2025,books,East,Debit Card,17.0,203.72,3463.24
1340,04/13/2025,Toys,NORTH,UPI,,81.08,
1062,19/01/2025,  Sports  ,SOUTH,Credit Card,1.0,100.96,100.96
1542,14/06/2025,sports,East,UPI,23.0,387.52,8912.96
2036,11/11/2025,SPORTS,South,Cash,15.0,,
1458,19/05/2025,Clothing,south,Net Banking,15.0,189.23,2838.45
1914,05/10/2025,  Clothing  ,,Net Banking,2.0,390.86,781.72
1643,14-Jul-2025,Sports,West,Debit Card,2.0,414.14,828.28
1779,25-Aug-2025,  Sports  ,West,Cash,,,
1715,05-Aug-2025,home & kitchen,West,UPI,22.0,43.02,946.44
1661,2025-07-20,books,south,UPI,11.0,469.47,5164.17
1692,07/29/2025,Books,,Cash,2.0,412.69,825.38
1479,26-May-2025,Home & Kitchen,East,Net Banking,24.0,91.69,2200.56
1894,29/09/2025,Home & Kitchen,South,UPI,9.0,82.32,740.88
1009,2025-01-03,Home & Kitchen,East,Credit Card,19.0,229.9,4368.1
1447,16-May-2025,clothing,East,Net Banking,19.0,382.41,7265.79
1688,07/28/2025,Electronics,south,Debit Card,6.0,421.25,2527.5
2048,11/14/2025,Clothing,  East  ,Cash,8.0,348.24,2785.92
1509,2025-06-04,BOOKS,north,Cash,22.0,499.78,10995.16
1663,20-Jul-2025,ELECTRONICS,West,Net Banking,1.0,491.87,491.87
1935,11-Oct-2025,HOME & KITCHEN,North,Net Banking,17.0,289.8,4926.6
1620,07/07/2025,  Home & Kitchen  ,South,Debit Card,1.0,64.35,64.35
1075,23-Jan-2025,Toys,north,Debit Card,20.0,63.19,1263.8
1569,2025-06-22,Electronics,north,Cash,7.0,481.86,3373.02
1873,2025-09-22,  Books  ,,,16.0,100.75,1612.0
1058,18/01/2025,Books,East,UPI,11.0,55.77,613.47
2032,11/09/2025,Clothing,west,Cash,13.0,224.83,2922.79
1596,06/30/2025,electronics,South,Net Banking,5.0,332.65,1663.25
1298,01/04/2025,Books,South,Net Banking,8.0,464.45,3715.6
1697,2025-07-31,Electronics,North,UPI,16.0,63.73,1019.68
1218,07/03/2025,CLOTHING,South,Debit Card,11.0,411.81,4529.91
1993,2025-10-29,  Home & Kitchen  ,  South  ,Credit Card,24.0,318.69,7648.56
1674,24/07/2025,clothing,west,Cash,4.0,,
1345,2025-04-15,books,south,Debit Card,9.0,298.46,2686.14
2150,15/12/2025,Electronics,East,Credit Card,17.0,272.44,4631.48
1397,2025-05-01,home & kitchen,North,Net Banking,8.0,180.88,1447.04
1689,2025-07-28,Electronics,east,UPI,4.0,114.51,458.04
1926,08/10/2025,Toys,South,Cash,9.0,67.35,606.15
1769,2025-08-22,CLOTHING,South,Credit Card,13.0,165.98,2157.74
2047,14-Nov-2025,ELECTRONICS,WEST,Net Banking,9.0,,
1890,27/09/2025,Books,NORTH,UPI,23.0,337.28,7757.44
1862,19/09/2025,Toys,North,Credit Card,12.0,381.28,4575.36
1888,09/27/2025,Toys,north,Credit Card,17.0,370.29,6294.93
1267,22-Mar-2025,Electronics,North,Credit Card,12.0,498.83,5985.96
1007,02-Jan-2025,Home & Kitchen,NORTH,Debit Card,14.0,334.9,4688.6
1886,26/09/2025,Electronics,South,Net Banking,21.0,201.51,4231.71
1123,07-Feb-2025,Toys,WEST,Credit Card,4.0,13.97,55.88
1645,2025-07-15,toys,East,Credit Card,21.0,56.7,1190.7
1139,11-Feb-2025,HOME & KITCHEN,East,Net Banking,13.0,396.82,5158.66
1164,02/19/2025,Toys,North,Net Banking,13.0,113.96,1481.48
1740,08/13/2025,books,south,Debit Card,9.0,253.7,2283.3
2158,18/12/2025,Clothing,West,Cash,7.0,219.22,1534.54
2077,2025-11-23,Toys,  East  ,Net Banking,6.0,251.57,1509.42
1044,01/14/2025,home & kitchen,  North  ,Cash,13.0,259.93,3379.09
1786,27/08/2025,SPORTS,North,UPI,5.0,303.75,1518.75
2184,12/26/2025,toys,North,Debit Card,19.0,405.79,7710.01
1320,04/07/2025,Books,South,Net Banking,17.0,141.27,2401.59
1807,02-Sep-2025,Electronics,WEST,Debit Card,20.0,303.21,6064.2
1802,01/09/2025,Sports,  North  ,Credit Card,21.0,46.64,979.44
